ds,y
2022/1/1,3.4 
2022/1/2,3.5 
2022/1/3,5.5 
2022/1/4,5.2 
2022/1/5,4.1 
2022/1/6,0.7 
2022/1/7,2.6 
2022/1/8,4.5 
2022/1/9,6.3 
2022/1/10,7.7 
2022/1/11,5.7 
2022/1/12,5.0 
2022/1/13,5.7 
2022/1/14,4.4 
2022/1/15,5.5 
2022/1/16,5.4 
2022/1/17,6.0 
2022/1/18,4.4 
2022/1/19,3.7 
2022/1/20,3.4 
2022/1/21,3.0 
2022/1/22,4.5 
2022/1/23,5.1 
2022/1/24,6.4 
2022/1/25,5.2 
2022/1/26,5.5 
2022/1/27,6.8 
2022/1/28,6.6 
2022/1/29,5.9 
2022/1/30,5.2 
2022/1/31,4.9 
2022/2/1,5.6 
2022/2/2,5.5 
2022/2/3,5.8 
2022/2/4,4.9 
2022/2/5,3.5 
2022/2/6,2.3 
2022/2/7,4.5 
2022/2/8,5.3 
2022/2/9,6.2 
2022/2/10,2.3 
2022/2/11,4.1 
2022/2/12,4.7 
2022/2/13,3.1 
2022/2/14,3.9 
2022/2/15,5.5 
2022/2/16,6.0 
2022/2/17,4.6 
2022/2/18,5.7 
2022/2/19,5.0 
2022/2/20,5.9 
2022/2/21,4.1 
2022/2/22,4.4 
2022/2/23,4.4 
2022/2/24,4.8 
2022/2/25,6.5 
2022/2/26,8.6 
2022/2/27,9.5 
2022/2/28,9.8 
2022/3/1,11.0 
2022/3/2,11.2 
2022/3/3,9.5 
2022/3/4,8.1 
2022/3/5,11.2 
2022/3/6,8.1 
2022/3/7,8.3 
2022/3/8,6.3 
2022/3/9,7.9 
2022/3/10,9.0 
2022/3/11,12.0 
2022/3/12,14.6 
2022/3/13,14.7 
2022/3/14,16.4 
2022/3/15,12.7 
2022/3/16,14.1 
2022/3/17,14.1 
2022/3/18,5.2 
2022/3/19,10.1 
2022/3/20,9.9 
2022/3/21,9.6 
2022/3/22,3.7 
2022/3/23,5.2 
2022/3/24,8.2 
2022/3/25,12.2 
2022/3/26,16.1 
2022/3/27,16.2 
2022/3/28,13.5 
2022/3/29,10.2 
2022/3/30,14.5 
2022/3/31,15.1 
2022/4/1,7.6 
2022/4/2,8.5 
2022/4/3,8.2 
2022/4/4,8.5 
2022/4/5,12.6 
2022/4/6,15.5 
2022/4/7,14.3 
2022/4/8,15.4 
2022/4/9,17.2 
2022/4/10,19.6 
2022/4/11,18.9 
2022/4/12,20.0 
2022/4/13,20.8 
2022/4/14,12.3 
2022/4/15,10.1 
2022/4/16,12.5 
2022/4/17,13.7 
2022/4/18,14.3 
2022/4/19,15.3 
2022/4/20,12.2 
2022/4/21,16.4 
2022/4/22,19.2 
2022/4/23,20.8 
2022/4/24,17.3 
2022/4/25,19.9 
2022/4/26,21.3 
2022/4/27,23.0 
2022/4/28,16.9 
2022/4/29,12.9 
2022/4/30,12.6 
2022/5/1,12.7 
2022/5/2,13.3 
2022/5/3,15.2 
2022/5/4,17.9 
2022/5/5,19.8 
2022/5/6,19.5 
2022/5/7,18.5 
2022/5/8,18.3 
2022/5/9,14.1 
2022/5/10,16.5 
2022/5/11,18.7 
2022/5/12,19.4 
2022/5/13,18.8 
2022/5/14,21.8 
2022/5/15,17.5 
2022/5/16,14.5 
2022/5/17,15.7 
2022/5/18,18.8 
2022/5/19,20.5 
2022/5/20,21.2 
2022/5/21,18.2 
2022/5/22,19.0 
2022/5/23,19.6 
2022/5/24,20.9 
2022/5/25,21.8 
2022/5/26,21.6 
2022/5/27,21.0 
2022/5/28,22.4 
2022/5/29,24.1 
2022/5/30,22.3 
2022/5/31,18.7 
2022/6/1,21.8 
2022/6/2,22.5 
2022/6/3,20.6 
2022/6/4,20.3 
2022/6/5,21.5 
2022/6/6,16.6 
2022/6/7,16.8 
2022/6/8,17.2 
2022/6/9,19.1 
2022/6/10,21.2 
2022/6/11,21.9 
2022/6/12,21.4 
2022/6/13,21.2 
2022/6/14,17.3 
2022/6/15,16.9 
2022/6/16,20.3 
2022/6/17,22.8 
2022/6/18,22.7 
2022/6/19,24.0 
2022/6/20,25.1 
2022/6/21,25.2 
2022/6/22,23.8 
2022/6/23,23.5 
2022/6/24,27.5 
2022/6/25,30.0 
2022/6/26,29.6 
2022/6/27,29.5 
2022/6/28,29.2 
2022/6/29,29.4 
2022/6/30,30.8 
2022/7/1,30.4 
2022/7/2,29.5 
2022/7/3,28.9 
2022/7/4,26.5 
2022/7/5,26.2 
2022/7/6,26.0 
2022/7/7,25.5 
2022/7/8,26.0 
2022/7/9,26.6 
2022/7/10,27.4 
2022/7/11,28.1 
2022/7/12,25.9 
2022/7/13,23.7 
2022/7/14,23.8 
2022/7/15,23.8 
2022/7/16,23.5 
2022/7/17,25.4 
2022/7/18,27.5 
2022/7/19,27.4 
2022/7/20,29.7 
2022/7/21,28.1 
2022/7/22,28.3 
2022/7/23,28.7 
2022/7/24,28.3 
2022/7/25,29.2 
2022/7/26,26.6 
2022/7/27,29.4 
2022/7/28,28.8 
2022/7/29,29.1 
2022/7/30,29.9 
2022/7/31,30.8 
2022/8/1,30.6 
2022/8/2,31.6 
2022/8/3,31.5 
2022/8/4,24.6 
2022/8/5,23.8 
2022/8/6,25.2 
2022/8/7,27.6 
2022/8/8,29.8 
2022/8/9,30.9 
2022/8/10,30.5 
2022/8/11,29.5 
2022/8/12,28.3 
2022/8/13,25.5 
2022/8/14,28.2 
2022/8/15,29.4 
2022/8/16,31.0 
2022/8/17,27.3 
2022/8/18,26.8 
2022/8/19,27.5 
2022/8/20,26.4 
2022/8/21,26.0 
2022/8/22,26.2 
2022/8/23,28.7 
2022/8/24,27.8 
2022/8/25,25.7 
2022/8/26,27.0 
2022/8/27,29.0 
2022/8/28,23.7 
2022/8/29,23.3 
2022/8/30,22.8 
2022/8/31,27.1 
2022/9/1,27.1 
2022/9/2,23.2 
2022/9/3,24.6 
2022/9/4,26.1 
2022/9/5,26.6 
2022/9/6,27.8 
2022/9/7,26.8 
2022/9/8,23.5 
2022/9/9,24.5 
2022/9/10,25.3 
2022/9/11,24.4 
2022/9/12,25.8 
2022/9/13,26.1 
2022/9/14,26.7 
2022/9/15,23.6 
2022/9/16,25.1 
2022/9/17,26.9 
2022/9/18,25.2 
2022/9/19,27.1 
2022/9/20,22.3 
2022/9/21,19.5 
2022/9/22,20.3 
2022/9/23,21.7 
2022/9/24,23.1 
2022/9/25,22.9 
2022/9/26,23.3 
2022/9/27,23.2 
2022/9/28,22.8 
2022/9/29,22.4 
2022/9/30,23.2 
2022/10/1,23.6 
2022/10/2,23.5 
2022/10/3,23.0 
2022/10/4,25.2 
2022/10/5,19.8 
2022/10/6,13.1 
2022/10/7,12.4 
2022/10/8,16.1 
2022/10/9,17.0 
2022/10/10,18.1 
2022/10/11,21.6 
2022/10/12,18.5 
2022/10/13,15.8 
2022/10/14,17.9 
2022/10/15,20.2 
2022/10/16,20.0 
2022/10/17,20.1 
2022/10/18,16.2 
2022/10/19,14.6 
2022/10/20,14.7 
2022/10/21,16.7 
2022/10/22,16.6 
2022/10/23,18.2 
2022/10/24,13.3 
2022/10/25,12.8 
2022/10/26,13.8 
2022/10/27,12.8 
2022/10/28,13.5 
2022/10/29,15.8 
2022/10/30,13.8 
2022/10/31,14.7 
2022/11/1,14.8 
2022/11/2,16.7 
2022/11/3,17.8 
2022/11/4,15.5 
2022/11/5,14.0 
2022/11/6,13.5 
2022/11/7,13.7 
2022/11/8,15.9 
2022/11/9,14.6 
2022/11/10,15.2 
2022/11/11,16.1 
2022/11/12,16.6 
2022/11/13,18.0 
2022/11/14,16.1 
2022/11/15,11.1 
2022/11/16,12.4 
2022/11/17,12.8 
2022/11/18,13.2 
2022/11/19,13.7 
2022/11/20,11.6 
2022/11/21,13.4 
2022/11/22,15.4 
2022/11/23,11.7 
2022/11/24,15.3 
2022/11/25,13.5 
2022/11/26,12.7 
2022/11/27,14.4 
2022/11/28,11.7 
2022/11/29,16.7 
2022/11/30,16.6 
2022/12/1,10.1 
2022/12/2,9.4 
2022/12/3,7.8 
2022/12/4,10.2 
2022/12/5,7.6 
2022/12/6,6.1 
2022/12/7,8.5 
2022/12/8,9.3 
2022/12/9,9.3 
2022/12/10,10.4 
2022/12/11,9.5 
2022/12/12,8.2 
2022/12/13,7.2 
2022/12/14,9.2 
2022/12/15,7.0 
2022/12/16,8.2 
2022/12/17,6.7 
2022/12/18,6.5 
2022/12/19,4.9 
2022/12/20,5.4 
2022/12/21,6.5 
2022/12/22,7.2 
2022/12/23,5.4 
2022/12/24,6.2 
2022/12/25,6.9 
2022/12/26,6.3 
2022/12/27,6.8 
2022/12/28,6.5 
2022/12/29,8.1 
2022/12/30,6.6 
2022/12/31,5.7 
2023/1/1,6.6 
2023/1/2,6.2 
2023/1/3,5.8 
2023/1/4,5.6 
2023/1/5,5.9 
2023/1/6,5.3 
2023/1/7,6.0 
2023/1/8,7.0 
2023/1/9,8.0 
2023/1/10,6.3 
2023/1/11,5.4 
2023/1/12,6.1 
2023/1/13,8.7 
2023/1/14,9.5 
2023/1/15,10.3 
2023/1/16,6.3 
2023/1/17,4.7 
2023/1/18,7.3 
2023/1/19,6.3 
2023/1/20,7.6 
2023/1/21,5.6 
2023/1/22,4.9 
2023/1/23,4.5 
2023/1/24,4.7 
2023/1/25,-0.3 
2023/1/26,3.0 
2023/1/27,3.8 
2023/1/28,3.7 
2023/1/29,3.4 
2023/1/30,4.2 
2023/1/31,4.6 
2023/2/1,6.8 
2023/2/2,6.4 
2023/2/3,4.8 
2023/2/4,6.5 
2023/2/5,6.8 
2023/2/6,7.8 
2023/2/7,10.5 
2023/2/8,8.7 
2023/2/9,6.2 
2023/2/10,1.9 
2023/2/11,8.7 
2023/2/12,11.0 
2023/2/13,7.7 
2023/2/14,5.6 
2023/2/15,3.5 
2023/2/16,4.1 
2023/2/17,5.7 
2023/2/18,8.9 
2023/2/19,11.8 
2023/2/20,9.7 
2023/2/21,4.7 
2023/2/22,5.5 
2023/2/23,8.5 
2023/2/24,8.9 
2023/2/25,7.5 
2023/2/26,6.0 
2023/2/27,8.7 
2023/2/28,11.6 
2023/3/1,13.8 
2023/3/2,12.8 
2023/3/3,7.8 
2023/3/4,10.5 
2023/3/5,9.5 
2023/3/6,9.9 
2023/3/7,12.1 
2023/3/8,14.0 
2023/3/9,15.9 
2023/3/10,17.3 
2023/3/11,14.7 
2023/3/12,14.5 
2023/3/13,13.9 
2023/3/14,10.0 
2023/3/15,12.3 
2023/3/16,14.5 
2023/3/17,12.5 
2023/3/18,8.1 
2023/3/19,10.0 
2023/3/20,13.1 
2023/3/21,14.7 
2023/3/22,17.2 
2023/3/23,16.5 
2023/3/24,18.1 
2023/3/25,11.0 
2023/3/26,11.4 
2023/3/27,13.4 
2023/3/28,10.2 
2023/3/29,12.6 
2023/3/30,14.1 
2023/3/31,15.0 
2023/4/1,16.0 
2023/4/2,14.1 
2023/4/3,12.8 
2023/4/4,14.0 
2023/4/5,16.1 
2023/4/6,18.8 
2023/4/7,18.5 
2023/4/8,14.6 
2023/4/9,11.8 
2023/4/10,14.6 
2023/4/11,18.2 
2023/4/12,19.2 
2023/4/13,16.1 
2023/4/14,18.2 
2023/4/15,14.3 
2023/4/16,16.2 
2023/4/17,15.1 
2023/4/18,13.6 
2023/4/19,18.0 
2023/4/20,20.4 
2023/4/21,21.6 
2023/4/22,14.9 
2023/4/23,14.2 
2023/4/24,13.2 
2023/4/25,14.1 
2023/4/26,15.6 
2023/4/27,17.2 
2023/4/28,18.7 
2023/4/29,19.4 
2023/4/30,19.7 
2023/5/1,17.8 
2023/5/2,17.4 
2023/5/3,17.8 
2023/5/4,19.7 
2023/5/5,21.1 
2023/5/6,23.0 
2023/5/7,17.6 
2023/5/8,12.9 
2023/5/9,15.1 
2023/5/10,17.7 
2023/5/11,15.8 
2023/5/12,17.1 
2023/5/13,16.7 
2023/5/14,16.9 
2023/5/15,16.1 
2023/5/16,19.9 
2023/5/17,22.8 
2023/5/18,25.4 
2023/5/19,20.6 
2023/5/20,18.8 
2023/5/21,21.1 
2023/5/22,22.5 
2023/5/23,13.9 
2023/5/24,18.2 
2023/5/25,18.6 
2023/5/26,20.1 
2023/5/27,21.2 
2023/5/28,21.6 
2023/5/29,19.8 
2023/5/30,21.4 
2023/5/31,19.3 
2023/6/1,20.8 
2023/6/2,21.3 
2023/6/3,20.0 
2023/6/4,21.6 
2023/6/5,23.1 
2023/6/6,20.7 
2023/6/7,22.5 
2023/6/8,23.1 
2023/6/9,20.2 
2023/6/10,22.4 
2023/6/11,21.2 
2023/6/12,21.3 
2023/6/13,23.7 
2023/6/14,23.6 
2023/6/15,21.7 
2023/6/16,24.6 
2023/6/17,25.4 
2023/6/18,25.7 
2023/6/19,23.7 
2023/6/20,22.5 
2023/6/21,22.6 
2023/6/22,19.9 
2023/6/23,21.1 
2023/6/24,24.7 
2023/6/25,25.8 
2023/6/26,25.9 
